,ADHDKNOW,DOC16A,DOC18A,DOC15A,GIVBLOOD,DOC20A,DOCVIG,DOCRELY,DOCASKME,DOCDECID,DOCSAT,DOCCOSTS,HEALTH1,EVCRACK,EVIDU,HEALTH,OUTSIDER,DOC19A,ILLPHYS,IMPRVMED,MNTLILL,IMPRVEAT,ALLERGIC,GENEPROB,NATHEAL,HEALTH30,MEDSYMPS,HLTHFREL,HLTHMAG1,HLTHMAG2,HLTHPAPR,HLTHWWW,HLTHTV,HLTHDOC,PHYSHLTH,MNTLHLTH
89,1,1,1,1,6,1,2,2,6,3,4,4,1,3,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
90,3,2,2,4,1,4,3,2,5,2,2,2,5,1,1,4,1,4,4,2,4,5,5,5,3,1,3,1,1,1,1,1,1,1,1,1
91,5,2,2,6,1,4,3,3,2,4,5,6,5,3,3,1,3,2,3,2,2,3,3,3,1,1,3,1,1,1,1,1,1,1,1,1
92,4,2,2,2,1,4,4,7,2,7,4,2,3,1,1,3,5,5,3,2,3,3,2,3,2,1,3,1,1,1,1,1,1,1,1,1
93,1,1,1,1,6,1,4,7,2,5,5,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,2
94,1,1,1,1,6,1,5,3,3,3,5,3,3,3,3,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,2,2
95,2,3,3,3,1,2,1,3,5,2,6,5,4,1,1,1,5,3,5,5,5,5,5,5,3,1,3,1,1,1,1,1,1,1,2,2
96,1,1,1,1,6,1,2,7,2,7,6,6,2,3,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,11,10
97,1,1,1,1,6,1,2,3,3,3,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,2
98,3,3,3,6,1,3,3,7,2,5,6,4,5,3,3,4,3,3,4,2,3,4,5,3,1,3,3,2,4,4,4,5,4,3,2,23
99,1,1,1,1,6,1,5,7,2,7,4,4,1,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
100,1,1,1,1,6,1,2,7,2,7,4,3,4,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,11,20
101,1,1,1,1,6,1,3,5,3,2,6,6,1,3,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
102,5,3,5,5,1,2,4,7,2,7,3,3,3,1,1,3,3,3,3,3,3,2,2,3,3,1,3,1,1,1,1,1,1,1,2,2
103,5,2,2,6,1,2,4,7,2,7,6,5,3,3,3,1,4,4,2,2,3,3,3,2,1,1,2,1,1,1,1,1,1,1,2,17
104,5,2,2,6,1,3,5,7,2,6,3,2,3,3,3,2,4,2,2,2,5,3,3,5,2,3,2,4,3,3,2,2,2,3,4,22
105,1,1,1,1,6,1,6,2,2,2,6,4,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,5,2,3,6,1,3,1,7,2,7,4,3,4,3,3,3,4,3,2,2,5,2,2,2,2,5,3,3,3,3,2,4,2,3,1,1
107,5,3,2,6,1,2,2,2,2,2,6,6,5,3,3,4,5,2,2,2,5,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1
108,1,1,1,1,6,1,3,6,5,5,6,6,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2
109,1,1,1,1,6,1,3,4,3,3,4,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,2,2,2,6,1,2,5,3,2,2,6,6,4,3,3,3,3,2,4,3,3,5,3,4,1,1,3,1,1,1,1,1,1,1,1,1
111,1,1,1,1,6,1,1,4,2,4,4,3,3,3,3,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2
112,5,3,3,3,1,3,1,3,3,3,4,2,5,3,3,4,2,3,3,2,4,4,4,3,1,4,3,4,3,2,2,5,4,3,17,4
113,5,3,3,5,1,3,2,7,2,6,5,6,5,3,3,1,3,3,3,2,3,2,2,3,1,1,3,5,2,3,2,2,4,4,1,1
114,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,3,2,3,6,1,3,5,3,2,3,4,3,5,2,2,4,4,3,3,2,3,4,4,3,2,1,2,1,1,1,1,1,1,1,1,1
116,1,1,1,1,6,1,1,7,2,2,6,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
117,3,3,3,3,1,2,2,5,4,5,4,4,4,3,3,3,4,2,4,2,3,3,3,3,2,2,3,1,1,1,1,1,1,1,11,2
118,5,3,2,5,1,3,3,7,2,3,5,4,3,3,3,1,3,3,3,3,3,3,4,3,2,1,2,2,3,5,2,2,2,3,1,1
119,5,2,2,6,1,2,3,3,2,3,6,6,5,3,3,4,3,2,3,3,3,4,3,4,1,1,3,2,2,2,2,2,2,3,1,1
120,1,1,1,1,6,1,4,5,2,7,4,4,1,3,2,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
121,1,1,1,1,6,1,5,2,3,3,3,2,1,3,3,5,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
122,3,2,2,6,1,2,6,3,2,3,4,2,4,3,3,1,5,2,5,2,5,4,4,4,2,1,2,2,2,2,3,2,2,3,1,1
123,3,2,3,5,1,3,6,2,2,2,4,2,4,3,3,3,4,3,4,4,3,4,4,3,1,1,4,1,1,1,1,1,1,1,1,1
124,1,1,1,1,6,1,1,2,2,7,5,2,1,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
125,1,1,1,1,6,1,1,2,2,2,4,2,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,11
126,1,1,1,1,6,1,2,6,2,6,6,6,1,3,3,3,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1
127,5,3,3,5,1,5,2,7,2,4,6,4,4,3,3,3,4,3,4,3,4,4,4,4,1,3,4,2,2,3,2,3,2,4,2,2
128,5,2,3,6,1,3,4,5,2,5,6,4,2,3,3,2,5,3,5,4,5,4,5,3,2,3,3,1,1,1,1,1,1,1,2,2
129,1,1,1,1,6,1,5,6,3,3,4,4,1,3,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
130,1,1,1,1,6,1,5,3,3,2,4,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,5,2,2,6,1,2,6,7,2,5,3,2,2,2,3,2,5,2,4,4,5,4,4,4,3,3,3,3,2,3,2,3,2,3,2,2
132,5,2,2,6,1,2,1,6,2,5,5,4,2,3,3,2,4,2,4,4,4,4,4,3,2,2,2,2,2,4,2,4,2,4,2,2
133,1,1,1,1,6,1,1,6,3,6,4,3,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,17
134,1,1,1,1,6,1,2,6,3,2,6,6,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
135,5,3,5,5,1,6,4,2,2,4,6,6,2,2,3,1,2,4,4,5,4,3,5,5,2,1,2,1,1,1,1,1,1,1,2,7
136,1,1,1,1,6,1,5,6,3,3,4,4,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,10
137,5,5,5,5,1,5,1,6,4,2,6,6,5,1,1,1,3,5,5,2,4,2,2,2,2,1,5,4,3,4,2,2,4,2,3,13
138,1,1,1,1,6,1,2,2,4,2,4,3,1,1,1,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
139,1,1,1,1,6,1,2,6,3,3,5,6,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,1,1,1,1,4,1,3,7,3,4,5,4,1,3,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
141,5,2,2,6,1,2,3,5,2,6,2,2,3,3,3,3,5,2,2,2,5,3,3,4,1,3,2,1,1,1,1,1,1,1,1,1
142,3,3,3,5,1,3,4,6,4,3,6,4,4,3,3,1,4,3,2,2,5,3,3,2,1,2,3,1,1,1,1,1,1,1,2,2
143,1,1,1,1,6,1,6,7,3,3,5,4,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,4,2,3,6,1,3,1,6,3,3,5,6,4,3,3,3,4,3,2,2,5,3,3,3,2,2,3,1,1,1,1,1,1,1,1,1
145,3,2,3,4,1,6,1,6,2,6,6,4,4,1,1,1,3,3,5,3,4,3,4,3,1,1,3,2,3,3,2,2,2,3,2,2
146,5,2,2,6,1,2,2,4,2,3,6,6,5,3,3,4,3,2,2,2,5,3,2,2,2,1,3,2,2,2,2,2,2,4,1,1
147,1,1,1,1,6,1,2,7,2,7,5,6,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
148,5,2,2,6,1,4,4,5,3,5,6,6,3,3,3,3,4,3,4,3,3,3,3,3,2,2,2,5,2,2,2,3,2,5,1,1
149,3,2,2,6,1,3,5,5,3,3,4,3,5,3,3,4,2,3,4,3,3,4,4,4,1,1,3,1,1,1,1,1,1,1,1,1
150,1,1,1,1,6,1,6,5,2,3,4,3,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
151,5,3,5,5,1,6,2,6,3,6,6,5,3,3,3,2,3,5,5,5,3,3,5,4,1,3,3,1,1,1,1,1,1,1,2,2
152,1,1,1,1,6,1,3,5,2,4,4,3,2,3,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,20
153,1,1,1,1,6,1,3,7,2,6,6,5,1,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
154,1,1,1,1,6,1,4,3,2,3,6,5,4,3,3,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,20
155,5,3,3,5,1,6,6,5,3,4,3,2,2,3,3,2,2,2,3,2,2,5,5,3,2,1,3,1,1,1,1,1,1,1,1,1
156,2,2,2,6,1,2,2,2,3,3,3,4,4,3,3,3,3,2,3,3,3,4,3,2,2,1,3,1,1,1,1,1,1,1,1,1
157,5,2,3,6,1,3,3,7,2,7,4,4,2,3,3,2,3,1,4,4,4,5,5,4,2,1,4,3,2,2,3,2,2,2,2,2
158,1,1,1,1,6,1,3,6,2,5,4,4,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,4
159,1,1,1,1,6,1,4,4,2,4,4,3,2,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2
160,1,1,1,1,6,1,4,5,2,5,5,3,5,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,2
161,2,3,3,2,1,3,5,2,2,2,4,2,2,3,3,2,2,3,3,3,3,4,3,3,2,1,3,2,2,2,2,2,2,4,2,2
162,5,3,3,5,1,2,6,3,2,3,6,4,4,3,3,1,3,3,4,4,4,4,1,1,2,1,3,1,1,1,1,1,1,1,2,2
163,2,2,2,6,1,2,6,7,2,6,4,2,5,3,3,4,3,2,3,3,3,5,5,5,1,1,3,1,1,1,1,1,1,1,1,1
164,1,1,1,1,6,1,1,2,2,3,2,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,1,1,1,1,4,1,2,6,2,6,5,3,1,3,3,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
166,5,3,3,5,1,6,3,2,3,4,6,4,3,3,3,1,2,3,5,3,4,5,5,4,2,1,3,5,3,2,2,2,2,3,1,1
167,5,3,3,3,1,5,3,6,7,2,6,6,2,3,3,2,5,4,5,5,5,5,5,4,1,4,1,3,2,2,2,4,2,2,2,2
168,1,1,1,1,6,1,4,3,2,3,6,6,2,3,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4
169,1,1,1,1,6,1,4,3,5,3,6,4,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,1,1,1,1,6,1,5,3,4,3,4,2,5,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2
171,5,2,2,6,1,2,5,7,2,4,3,3,3,3,3,3,3,2,5,5,5,5,5,5,1,3,2,2,2,2,2,5,3,3,2,2
172,3,3,3,5,1,4,6,7,2,7,4,5,2,1,1,1,4,4,5,5,5,5,4,4,1,1,4,1,1,1,1,1,1,1,2,17
173,5,2,2,6,1,2,1,7,2,7,6,6,5,3,3,4,5,2,5,3,5,3,3,5,2,3,3,3,2,2,2,3,2,3,2,3
174,1,1,1,1,6,1,1,5,2,6,5,5,2,3,3,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,4
175,1,1,1,1,6,1,2,7,2,5,5,4,1,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
